Срок размещения объявления,Модель машины,Год выпуска,"Пробег, км","Цена машины, ₽",Тип машины,Привод,Тип бензина,Ссылка
5 часов назад,BMW X7 4.4 AT,2024,1 ,21900000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x7_4.4_at_2024_1_km_3889488432
4 часа назад,BMW 7 серия 3.0 AT,2023,50 ,17000000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_3.0_at_2023_50_km_3575134270
5 часов назад,BMW X7 3.0 AT,2024,1 ,16900000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2024_1_km_3888960902
1 час назад,BMW XM 4.4 AT,2023,15 ,25490000,внедорожник,полный,гибрид,https://www.avito.ru/moskva/avtomobili/bmw_xm_4.4_at_2023_15_km_3548661660
5 дней назад,BMW X7 3.0 AT,2020,65 000 ,10190000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2020_65_000_km_4024470702
1 день назад,BMW X5 3.0 AT,2016,154 600 ,3745000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2016_154_600_km_3956541253
5 часов назад,BMW X5 3.0 AT,2024,1 ,13750000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2024_1_km_3889181158
3 дня назад,BMW X7 3.0 AT,2019,104 000 ,8050000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2019_104_000_km_3732464177
2 дня назад,BMW X6 3.0 AT,2023,0,15900000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2023_3552400360
1 день назад,BMW X7 4.4 AT,2023,0,20700000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x7_4.4_at_2023_3847309484
1 день назад,BMW X7 3.0 AT,2023,0,20585700,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2023_3836272691
4 дня назад,BMW 2 серия Gran Tourer 2.0 AT,2018,102 500 ,2249000,минивэн,передний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_2_seriya_gran_tourer_2.0_at_2018_102_500_km_3689262497
4 дня назад,BMW iX AT,2022,0,12950000,внедорожник,полный,электро,https://www.avito.ru/moskva/avtomobili/bmw_ix_at_2022_3568356749
1 день назад,BMW X5 3.0 AT,2020,68 798 ,8499000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2020_68_798_km_3657791694
4 дня назад,BMW X4 3.0 AT,2014,130 000 ,3150000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x4_3.0_at_2014_130_000_km_3983763169
5 дней назад,BMW X4 2.0 AT,2019,90 057 ,4100000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x4_2.0_at_2019_90_057_km_3888878144
3 дня назад,BMW X7 3.0 AT,2021,13 000 ,9800000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2021_13_000_km_3744004465
1 день назад,BMW X7 3.0 AT,2019,71 500 ,9400000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2019_71_500_km_3891954956
5 часов назад,BMW X6 3.0 AT,2024,1 ,16500000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2024_1_km_3889219822
44 минуты назад,BMW X5 3.0 AT,2019,78 000 ,7350000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2019_78_000_km_3739035972
4 часа назад,BMW 7 серия 4.4 AT,2022,4 300 ,21890000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_4.4_at_2022_4_300_km_3740855078
1 день назад,BMW X6 3.0 AT,2023,132 ,15750000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2023_132_km_3835782704
7 часов назад,BMW X7 3.0 AT,2022,15 000 ,14900000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2022_15_000_km_3971857004
5 часов назад,BMW 5 серия 2.0 AT,2024,1 ,9490000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2024_1_km_3889195694
4 дня назад,BMW 3 серия GT 2.0 AT,2014,66 666 ,3200000,лифтбек,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_gt_2.0_at_2014_66_666_km_4273893305
6 дней назад,BMW X4 2.0 AT,2017,95 184 ,3384000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x4_2.0_at_2017_95_184_km_3919911010
