Срок размещения объявления (дней),Модель машины,Год выпуска,"Пробег, км","Цена машины, ₽",Тип машины,Привод,Тип бензина,Ссылка
0,BMW X7 4.4 AT,2024,1,21900000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x7_4.4_at_2024_1_km_3889488432
0,BMW 7 серия 3.0 AT,2023,50,17000000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_3.0_at_2023_50_km_3575134270
0,BMW X7 3.0 AT,2024,1,16900000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2024_1_km_3888960902
0,BMW XM 4.4 AT,2023,15,25490000,внедорожник,полный,гибрид,https://www.avito.ru/moskva/avtomobili/bmw_xm_4.4_at_2023_15_km_3548661660
5,BMW X7 3.0 AT,2020,65000,10190000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2020_65_000_km_4024470702
1,BMW X5 3.0 AT,2016,154600,3745000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2016_154_600_km_3956541253
0,BMW X5 3.0 AT,2024,1,13750000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2024_1_km_3889181158
3,BMW X7 3.0 AT,2019,104000,8050000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2019_104_000_km_3732464177
2,BMW X6 3.0 AT,2023,0,15900000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2023_3552400360
1,BMW X7 4.4 AT,2023,0,20700000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x7_4.4_at_2023_3847309484
1,BMW X7 3.0 AT,2023,0,20585700,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2023_3836272691
4,BMW 2 серия Gran Tourer 2.0 AT,2018,102500,2249000,минивэн,передний,дизель,https://www.avito.ru/moskva/avtomobili/bmw_2_seriya_gran_tourer_2.0_at_2018_102_500_km_3689262497
4,BMW iX AT,2022,0,12950000,внедорожник,полный,электро,https://www.avito.ru/moskva/avtomobili/bmw_ix_at_2022_3568356749
1,BMW X5 3.0 AT,2020,68798,8499000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2020_68_798_km_3657791694
4,BMW X4 3.0 AT,2014,130000,3150000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x4_3.0_at_2014_130_000_km_3983763169
5,BMW X4 2.0 AT,2019,90057,4100000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x4_2.0_at_2019_90_057_km_3888878144
3,BMW X7 3.0 AT,2021,13000,9800000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2021_13_000_km_3744004465
1,BMW X7 3.0 AT,2019,71500,9400000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2019_71_500_km_3891954956
0,BMW X6 3.0 AT,2024,1,16500000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2024_1_km_3889219822
0,BMW X5 3.0 AT,2019,78000,7350000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2019_78_000_km_3739035972
0,BMW 7 серия 4.4 AT,2022,4300,21890000,седан,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_4.4_at_2022_4_300_km_3740855078
1,BMW X6 3.0 AT,2023,132,15750000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2023_132_km_3835782704
0,BMW X7 3.0 AT,2022,15000,14900000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2022_15_000_km_3971857004
0,BMW 5 серия 2.0 AT,2024,1,9490000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2024_1_km_3889195694
4,BMW 3 серия GT 2.0 AT,2014,66666,3200000,лифтбек,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_gt_2.0_at_2014_66_666_km_4273893305
6,BMW X4 2.0 AT,2017,95184,3384000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x4_2.0_at_2017_95_184_km_3919911010
0,BMW 7 серия 3.0 AT,2023,23800,13850000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_7_seriya_3.0_at_2023_23_800_km_3560643142
2,BMW X5 3.0 AT,2014,189000,3210000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2014_189_000_km_3920157599
0,BMW 5 серия 2.0 AT,2013,161500,2490000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2013_161_500_km_3946251095
0,BMW X7 3.0 AT,2020,68000,8990000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2020_68_000_km_4106190257
6,BMW X5 3.0 AT,2019,122100,6689000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2019_122_100_km_3919715303
6,BMW X1 2.0 AT,2018,78576,2817000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x1_2.0_at_2018_78_576_km_3920060670
0,BMW X3 2.0 AT,2020,79000,4999999,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2020_79_000_km_3917749125
0,BMW X1 2.0 AT,2012,119905,1247000,внедорожник,задний,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x1_2.0_at_2012_119_905_km_3899557150
0,BMW 8 серия Gran Coupe 3.0 AT,2020,47850,7350000,седан,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_8_seriya_gran_coupe_3.0_at_2020_47_850_km_3896229147
7,BMW X7 3.0 AT,2022,0,22672980,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2022_3950449026
0,BMW X5 3.0 AT,2019,105300,6850000,внедорожник,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2019_105_300_km_3900344257
1,BMW X7 4.4 AT,2023,0,20700000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x7_4.4_at_2023_3847309484
0,BMW XM 4.4 AT,2023,15,23500000,внедорожник,полный,гибрид,https://www.avito.ru/moskva/avtomobili/bmw_xm_4.4_at_2023_15_km_3836876197
1,BMW X3 2.0 AT,2023,0,9000000,внедорожник,полный,бензин,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2023_3814989017
0,BMW 3 серия GT 2.0 AT,2017,90627,2545000,лифтбек,полный,дизель,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_gt_2.0_at_2017_90_627_km_3782462362
